# crossing over y axis from positive to negative
(3, -7)
(2, -7)
(1, -7)
(1, -6)
(2, -5)

# crossing over y axis from negative to positive
(-3, 7)
(-2, 7)
(-1, 7)
(-1, 6)
(-2, 5)

# crossing over x axis from positive to negative
(7, 3)
(7, 2)
(7, 1)
(6, 1)
(5, 2)

# crossing over x axis from negative to positive
(-7, -3)
(-7, -2)
(-7, -1)
(-6, -1)
(-5, -2)

# crossing over x and y axis, from positive to negative
(3, 3)
(2, 3)
(1, 3)
(1, 4)
(2, 5)

# crossing over max x
(9223372036854775806, 13)
(9223372036854775807, 14)
(9223372036854775807, 15)
(9223372036854775806, 15)
(9223372036854775805, 15)

# crossing over min x
(-9223372036854775807, -15)
(-9223372036854775806, -15)
(-9223372036854775805, -15)
(-9223372036854775807, -14)
(-9223372036854775806, -13)

# crossing over max y
(18, 9223372036854775806)
(19, 9223372036854775807)
(20, 9223372036854775807)
(20, 9223372036854775806)
(20, 9223372036854775805)

# crossing over min y
(-20, -9223372036854775807)
(-20, -9223372036854775806)
(-20, -9223372036854775805)
(-19, -9223372036854775807)
(-18, -9223372036854775806)

# crossing over max x and max y
(9223372036854775806, 9223372036854775805)
(9223372036854775807, 9223372036854775806)
(9223372036854775807, 9223372036854775807)
(9223372036854775806, 9223372036854775807)
(9223372036854775805, 9223372036854775807)
